id,title,abstract,soft_labels_l1,relevant_children_l1,reasoning_l1,soft_labels_l2,relevant_children_l2,reasoning_l2,soft_labels_l3,relevant_children_l3,reasoning_l3
2347,Crosstalk-aware power optimization with multi-bit flip-flops,"Applying multi-bit flip-flops (MBFFs) for clock power reduction in modern nanometer ICs has been becoming a promising lower-power design technique. Many previous works tried to utilize as more MBFFs with larger bit numbers as possible to gain more clock power saving. However, an MBFF with a larger bit number may lead to serious crosstalk due to the close interconnecting wires belonging to different signal nets which are connected to the same MBFF. To address the problem, this paper analyzes, evaluates, and compares the relationship between power consumption and crosstalk when applying MBFFs with different bit numbers. To solve the addressed problem, a novel crosstalk-aware power optimization approach is further proposed to optimize power consumption while satisfying the crosstalk constraint. Experimental results show that the proposed approach is very effective in crosstalk avoidance when applying MBFFs for power optimization. To our best knowledge, this is also the first work in the literature that considers the crosstalk effect for the MBFF application.","General and reference:0.0,Hardware:1.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.0,Mathematics of computing:0.0,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:0.0,Applied computing:0.0,Social and professional topics:0.0",Hardware,Hardware is relevant as the paper focuses on power optimization techniques for multi-bit flip-flops in IC design. Other categories like Networks or Software are not central to the hardware-centric optimization problem.,"Communication hardware, interfaces and storage:0.1,Electronic design automation:0.2,Emerging technologies:0.1,Hardware test:0.1,Hardware validation:0.1,Integrated circuits:0.8,Power and energy:1.0,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.3","Power and energy,Integrated circuits",Power and energy is highly relevant for the power optimization focus. Integrated circuits receives a high score due to the VLSI context. Other options like Hardware test are less relevant as the paper addresses power optimization rather than testing techniques.,"3D integrated circuits:0,Digital switches:0,Energy distribution:0,Energy generation and storage:0,Impact on the environment:0,Interconnect:1,Logic circuits:0,Power estimation and optimization:1,Reconfigurable logic and FPGAs:0,Semiconductor memory:0,Thermal issues:0","Power estimation and optimization,Interconnect",Power estimation and optimization: The paper proposes a power optimization approach for MBFFs. Interconnect: The crosstalk issue directly relates to interconnect analysis. Other categories like Digital switches or Semiconductor memory are irrelevant as the focus is on power optimization and crosstalk in interconnects.
3750,Performance Enhancement of CMOS VLSI Circuits by Transistor Reordering,"A method which uses transistor reordering for the performance enhancement of CMOS circuits is presented. The proposed technique achieves significant reduction in propagation delays with little effect on layout area. The technique can be coupled with transistor sizing to achieve unbounded improvement in circuit delay, and it can be used to decrease dynamic power dissipation. In particular, excellent results have been achieved when the method is applied to data path circuits.","General and reference:0.1,Hardware:0.9,Computer systems organization:0.2,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.1,Applied computing:0.1,Social and professional topics:0.1",Hardware,Hardware is highly relevant for the CMOS VLSI circuit design and transistor reordering. Other categories like Software or Networks are not central to the core contribution.,"Communication hardware, interfaces and storage:0.1,Electronic design automation:0.2,Emerging technologies:0.2,Hardware test:0.1,Hardware validation:0.3,Integrated circuits:0.8,Power and energy:0.6,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.7","Very large scale integration design,Integrated circuits,Power and energy",Very large scale integration design (0.7) and Integrated circuits (0.8): The paper presents a VLSI circuit optimization technique. Power and energy (0.6): The method reduces dynamic power dissipation. Other categories are less relevant.,"3D integrated circuits:0.1,Analog and mixed-signal circuits:0.1,Application-specific VLSI designs:1,Design reuse and communication-based design:0.1,Design rules:0.1,Digital switches:0.1,Economics of chip design and manufacturing:0.1,Energy distribution:0.1,Energy generation and storage:0.1,Full-custom circuits:0.1,Impact on the environment:0.1,Interconnect:0.2,Logic circuits:0.1,On-chip resource management:0.1,On-chip sensors:0.3,Power estimation and optimization:0.9,Reconfigurable logic and FPGAs:0.1,Semiconductor memory:0.1,Standard cell libraries:0.1,Thermal issues:0.1,VLSI design manufacturing considerations:0.1,VLSI packaging:0.1,VLSI system specification and constraints:0.1","Application-specific VLSI designs,Power estimation and optimization",Application-specific VLSI designs is relevant for optimizing CMOS circuits. Power estimation and optimization applies to reducing dynamic power. Other categories like 'interconnect' or 'thermal issues' are not central to the core contribution.
5664,A 40 Mbps H.264/AVC CAVLC decoder using a 64-bit multiple-issue video parsing coprocessor,"In this paper, we describe a programmable CAVLC decoder implemented with a video parsing coprocessor. The video parsing coprocessor is a VLIW processor that issues multiple instructions and supports condition-controlled instructions to efficiently program control intensive algorithms and customized instructions for bit operations and table matching. The complexity of the parsing coprocessor is 92 Kgates logic circuits with 7 KB SRAM and its operating frequency is 200 MHz when synthesized with a 130 nm CMOS technology. The CAVLC decoder, when operated at 192 MHz, can decode a bitstream at the rate of 40 Mbps, which corresponds to the level 4.1 of H.264/AVC full HD 1080p.","General and reference:0.2,Hardware:1.0,Computer systems organization:0.5,Networks:0.1,Software and its engineering:0.2,Theory of computation:0.1,Mathematics of computing:0.2,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.3,Applied computing:0.2,Social and professional topics:0.2",Hardware,Hardware is directly relevant as the paper describes a video parsing coprocessor's design and implementation. Other categories like Software or Theory of computation are less relevant as the focus is on hardware architecture and performance.,"Communication hardware, interfaces and storage:0.2,Electronic design automation:0.1,Emerging technologies:0.1,Hardware test:0.1,Hardware validation:0.1,Integrated circuits:0.9,Power and energy:0.1,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.8","Integrated circuits,Very large scale integration design","Integrated circuits: The paper describes a specialized hardware component (video parsing coprocessor) for H.264 decoding, which is a core topic in integrated circuits. Very large scale integration design: The design of the VLIW processor and its bit-level operations align with VLSI design principles. Other categories like Communication hardware are less relevant as the focus is on hardware architecture rather than communication interfaces.","3D integrated circuits:0.0,Analog and mixed-signal circuits:0.0,Application-specific VLSI designs:1.0,Design reuse and communication-based design:0.0,Design rules:0.0,Digital switches:0.0,Economics of chip design and manufacturing:0.0,Full-custom circuits:0.0,Interconnect:0.0,Logic circuits:0.0,On-chip resource management:0.0,On-chip sensors:0.0,Reconfigurable logic and FPGAs:1.0,Semiconductor memory:0.0,Standard cell libraries:0.0,VLSI design manufacturing considerations:0.0,VLSI packaging:0.0,VLSI system specification and constraints:0.0","Application-specific VLSI designs,Reconfigurable logic and FPGAs",Application-specific VLSI designs is relevant for the programmable CAVLC decoder implementation. Reconfigurable logic and FPGAs is relevant due to the VLIW processor's multiple-issue architecture. Other categories like 3D integrated circuits or Full-custom circuits are irrelevant as the paper focuses on application-specific and reconfigurable design.
704,1.8 V.0.35 /spl mu/m CMOS wideband programmable gain amplifier,"∗ Group of Electronic Design, Department of Electronic and Communications Engineering, University of Zaragoza, Pedro Cerbuna 12, 50009 Zaragoza, Spain. e-mails: [becalvo,scelma,pemar2,materesa]@unizar.es, tel.: +34 976 761240, fax: +34 976 762143. Abstract − This paper presents a low-voltage high-frequency programmable gain amplifier (PGA) based on a very simple gm-boosted source-degenerated differential pair using a combined polysilicon-MOS resistor network as the degeneration resistance. The PGA is designed in a standard 0.35 μm CMOS process and consumes less than 0.5 mW from a 1.8 V supply. The gain varies linearly in a dB-scale from 0 to 18 dB in 6 dB steps, while maintaining an almost constant bandwidth exceeding 170 MHz. With 0.2 Vp-p differential output the total harmonic distortion levels are below -72 dB at 10 MHz over the whole gain setting range.","General and reference:0.1,Hardware:0.9,Computer systems organization:0.2,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.1,Applied computing:0.1,Social and professional topics:0.1",Hardware,Hardware is highly relevant as the paper presents a CMOS-based PGA design with detailed implementation in a 0.35μm process. Other fields are irrelevant as the focus is on integrated circuit design and performance metrics.,"Communication hardware, interfaces and storage:0.3,Electronic design automation:0.1,Emerging technologies:0.1,Hardware test:0.1,Hardware validation:0.1,Integrated circuits:0.9,Power and energy:0.7,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.1","Integrated circuits,Power and energy",Integrated circuits is relevant for the CMOS PGA design. Power and energy applies to the low-voltage focus. Other fields like Communication hardware are less directly related.,"3D integrated circuits:0.1,Digital switches:0.2,Energy distribution:0.2,Energy generation and storage:0.1,Impact on the environment:0.1,Interconnect:1.0,Logic circuits:0.6,Power estimation and optimization:1.0,Reconfigurable logic and FPGAs:0.3,Semiconductor memory:0.2,Thermal issues:0.3","Interconnect,Power estimation and optimization",Interconnect is relevant due to the focus on amplifier design and circuit structure. Power estimation and optimization align with the low-voltage CMOS design. Other fields like Energy distribution are less directly related.
4122,Enhancement-Mode AlGaN/GaN HEMTs with Low On-Resistance and Low Knee-Voltage,"Based on fluoride-based plasma treatment of the gate region in AlGaN/GaN HEMTs and post-gate rapid thermal annealing (RTA), enhancement mode (E-mode) AlGaN/GaN HEMTs with low on-resistance and low knee-voltage were fabricated. The fabricated E-mode AlGaN/GaN HEMT with 1 μm-long gate exhibits a threshold voltage of 0.9 V, a knee-voltage of 2.2 V, a maximum drain current density of 310 mA/mm, a peak g m of 148 mS/mm, a current gain cutoff frequency f T of 10.1 GHz and a maximum oscillation frequency f max of 34.3 GHz. In addition, the fluoride-based plasma treatment was also found to be effective in lowering the gate leakage current, in both forward and reverse bias. Two orders of magnitude reducation in gate leakage current was observed in the fabricated E-mode HEMTs compared to the conventional D-mode HEMTs without fluoride-based plasma treatment.","General and reference:0.1,Hardware:0.9,Computer systems organization:0.6,Networks:0.2,Software and its engineering:0.3,Theory of computation:0.2,Mathematics of computing:0.3,Information systems:0.2,Security and privacy:0.1,Human-centered computing:0.2,Computing methodologies:0.4,Applied computing:0.3,Social and professional topics:0.1",Hardware,"Hardware: The paper focuses on the design and fabrication of enhancement-mode AlGaN/GaN HEMTs, which are semiconductor devices central to hardware engineering.","Communication hardware, interfaces and storage:0.1,Electronic design automation:0.1,Emerging technologies:0.1,Hardware test:0.1,Hardware validation:0.1,Integrated circuits:0.9,Power and energy:0.7,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.1","Integrated circuits,Power and energy",Integrated circuits is relevant for the HEMT fabrication and performance analysis. Power and energy is relevant due to the focus on low on-resistance and power efficiency. Other categories like 'Communication hardware' are rejected as the focus is on semiconductor devices rather than communication systems.,"3D integrated circuits:0,Digital switches:1,Energy distribution:0,Energy generation and storage:0,Impact on the environment:0,Interconnect:0.5,Logic circuits:0,Power estimation and optimization:1,Reconfigurable logic and FPGAs:0,Semiconductor memory:0,Thermal issues:0.5,System on a chip:0.5","Digital switches,Power estimation and optimization",Digital switches is highly relevant as HEMTs are fundamental semiconductor switches. Power estimation and optimization is relevant due to the focus on device performance metrics like on-resistance and knee-voltage. Thermal issues is moderately relevant for potential heat management considerations.
2806,Can SAT be used to improve sequential ATPG methods?,"In this work we investigate the integration of SAT methods into a simulation-based sequential ATPG tool, STRATEGATE, with the aim of improving the state-of-the-art in sequential ATPG. We offer a detailed analysis of possible scenarios and algorithms for performing such an integration. Our preliminary investigations show that such hybrid approaches can be very promising.","General and reference:0.0,Hardware:1.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.5,Mathematics of computing:0.0,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:0.0,Applied computing:0.0,Social and professional topics:0.0",Hardware,Hardware is relevant because the paper addresses SAT integration in ATPG tools for hardware testing. Theory of computation is partially relevant due to SAT algorithms but not the core focus.,"Communication hardware, interfaces and storage:0.1,Electronic design automation:0.1,Emerging technologies:0.1,Hardware test:0.8,Hardware validation:0.6,Integrated circuits:0.4,Power and energy:0.1,Printed circuit boards:0.1,Robustness:0.2,Very large scale integration design:0.7","Hardware test,Very large scale integration design",Hardware test is highly relevant as the paper focuses on improving ATPG methods. Very large scale integration design is relevant due to the application in circuit testing. Other categories like Integrated circuits are less central.,"3D integrated circuits:0,Analog and mixed-signal circuits:0,Analog, mixed-signal and radio frequency test:0,Application-specific VLSI designs:0,Board- and system-level test:0,Defect-based test:0,Design for testability:0,Design reuse and communication-based design:0,Design rules:0,Economics of chip design and manufacturing:0,Fault models and test metrics:0,Full-custom circuits:0,Hardware reliability screening:0,Memory test and repair:0,On-chip resource management:0,On-chip sensors:0,Standard cell libraries:0,Test-pattern generation and fault simulation:1,Testing with distributed and parallel systems:0,VLSI design manufacturing considerations:0,VLSI packaging:0,VLSI system specification and constraints:0",Test-pattern generation and fault simulation,Test-pattern generation and fault simulation is directly relevant as the paper discusses integrating SAT methods into a sequential ATPG tool to improve test pattern generation. Other options are unrelated to the specific focus on test pattern generation algorithms.
1659,A scalable algorithm for RTL insertion of gated clocks based on ODCs computation,"We propose a new algorithm for automatic clock-gating insertion applicable at the register transfer level (RTL). The basic rationale of our approach is to eliminate redundant computations performed by temporally unobservable blocks through aggressive exploitation of observability don't care (ODC) conditions. ODCs are efficiently detected from an RTL description by focusing only on data-path modules with easily detectable input unobservability conditions. ODCs are then propagated in the form of logic expressions toward the registers by backward traversal and levelization of the design. Finally, the logic expressions are mapped onto hardware to provide control signals to the clock-gating logic at a reduced cost in area and speed. The technique is characterized by fast processing time, high scalability to large designs, and tight user control on clock-gating overhead. Our approach is compatible with standard industrial design flows, and reduces power consumption significantly with a small overhead in delay and area. Experimental results obtained on a set of industrial RTL designs containing several tens of thousands of gates show average power reductions of around 42%. On the same examples, the application of traditional clock-gating leads to average savings reductions close to 29%.","General and reference:0.1,Hardware:0.9,Computer systems organization:0.6,Networks:0.2,Software and its engineering:0.2,Theory of computation:0.2,Mathematics of computing:0.2,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.3,Applied computing:0.2,Social and professional topics:0.1",Hardware,Hardware (0.9): The paper introduces an RTL-level clock-gating algorithm for hardware optimization. Other categories like Systems Organization are secondary to the hardware design focus.,"Communication hardware, interfaces and storage:0.1,Electronic design automation:0.9,Emerging technologies:0.1,Hardware test:0.1,Hardware validation:0.1,Integrated circuits:0.8,Power and energy:0.9,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.8","Power and energy,Electronic design automation,Very large scale integration design",Power and energy is relevant due to clock-gating for power reduction. Electronic design automation applies to the RTL algorithm. Very large scale integration design fits the VLSI context. Communication hardware is less relevant as the focus is on power optimization rather than communication systems.,"3D integrated circuits:0,Analog and mixed-signal circuits:0,Application-specific VLSI designs:0,Design reuse and communication-based design:0,Design rules:0,Economics of chip design and manufacturing:0,Energy distribution:0,Energy generation and storage:0,Full-custom circuits:0,Hardware description languages and compilation:0,High-level and register-transfer level synthesis:1,Impact on the environment:0,Logic synthesis:0,Methodologies for EDA:0,Modeling and parameter extraction:0,On-chip resource management:0,On-chip sensors:0,Physical design (EDA):0,Power estimation and optimization:1,Standard cell libraries:0,Thermal issues:0,Timing analysis:0,VLSI design manufacturing considerations:0,VLSI packaging:0,VLSI system specification and constraints:0","High-level and register-transfer level synthesis,Power estimation and optimization",High-level and register-transfer level synthesis are relevant for the RTL algorithm. Power estimation and optimization are relevant because the paper focuses on reducing power consumption. Other categories like Analog circuits are not central to the core contribution.
680,Fast-switching analog PLL with finite-impulse response,"This paper describes a method for speeding up the linear settling response of integer-N phase-locked loops. Extending the discrete-time model of the PLL first proposed by Gardner, simple design rules are derived which guarantee accurate frequency settling in few reference cycles. Simulations show that the proposed design technique improves up to six times the settling time of a conventional design. The stability margins and the noise behavior of the proposed system are analyzed.","General and reference:0.1,Hardware:0.8,Computer systems organization:0.3,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.2,Applied computing:0.1,Social and professional topics:0.1",Hardware,Hardware is highly relevant as the paper presents a novel analog PLL circuit design for fast frequency settling. Other fields like Software or Networks are not central to the circuit-level analysis and simulation.,"Communication hardware, interfaces and storage:0.9,Electronic design automation:0.1,Emerging technologies:0.1,Hardware test:0.1,Hardware validation:0.1,Integrated circuits:0.8,Power and energy:0.1,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.7","Communication hardware, interfaces and storage,Integrated circuits",Communication hardware is directly relevant as the paper discusses PLL design for communication systems. Integrated circuits is relevant due to the focus on analog circuit design. Very large scale integration design is somewhat relevant but secondary to the core contribution.,"3D integrated circuits:0.1,Digital switches:0.2,Interconnect:0.1,Logic circuits:0.6,Reconfigurable logic and FPGAs:0.1,Semiconductor memory:0.1",Logic circuits,Logic circuits are the closest fit for PLL design analysis. Other options like FPGAs or 3D ICs are irrelevant to analog PLLs.
3807,Phase analysis of coaxial short and open circuits,"Phase characteristics of coaxial short and open circuits used to calibrate reflectometers are analyzed by using the lossy transmission line theory and mode-matching method based on the cosine/sine-Fourier transforms. Calculated phases of short and open circuits with Type-N, 7 mm and 3.5 mm connectors are compared with ones predicted from the calibration kit parameters provided by the manufacturer.","General and reference:0.1,Hardware:0.95,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.1,Applied computing:0.1,Social and professional topics:0.1",Hardware,Hardware is highly relevant because the paper analyzes physical coaxial circuits and transmission line theory. Other categories like Computer systems organization or Networks are not mentioned in the core technical focus.,"Communication hardware, interfaces and storage:1.0,Electronic design automation:0.1,Emerging technologies:0.1,Hardware test:0.8,Hardware validation:0.7,Integrated circuits:0.1,Power and energy:0.1,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.1","Communication hardware, interfaces and storage,Hardware validation,Hardware test","Communication hardware, interfaces and storage is directly relevant for analyzing coaxial circuits. Hardware validation and Hardware test are relevant for calibration and phase analysis. Other categories like Integrated circuits are less central.","Analog, mixed-signal and radio frequency test:1.0,Board- and system-level test:0.7,Design for testability:0.4,Test-pattern generation and fault simulation:0.2","Analog, mixed-signal and radio frequency test",Analog and RF test is directly relevant due to the phase analysis of coaxial circuits. Board-level test is moderately relevant but not the primary focus of the paper.
2125,Low-power implementation of H.324 audiovisual codec dedicated to mobile computing,"A VLSI implementation of the H.324 audiovisual codec is described. A number of sophisticated low-power architectures have been devised dedicatedly for the mobile use. A set of specific functional units, each corresponding to a process of H.263 video codec, is employed to lighten different performance bottlenecks. A compact DSP core composed of two MAC units is used for both ACELP and MP-MLQ coding schemes of the G.723.1 speech codec. The proposed audiovisual codec core has been implemented by using 0.35 /spl mu/m CMOS 4LM technology, which contains totally 420 K transistors with the dissipation of 224.32 mW from single 3.3 V supply.","General and reference:0.1,Hardware:0.8,Computer systems organization:0.3,Networks:0.1,Software and its engineering:0.2,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.3,Applied computing:0.2,Social and professional topics:0.1",Hardware,Hardware is central to the VLSI codec implementation. Other categories are secondary or unrelated.,"Communication hardware, interfaces and storage:0.2,Electronic design automation:0.3,Emerging technologies:0.1,Hardware test:0.1,Hardware validation:0.1,Integrated circuits:0.85,Power and energy:0.75,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:0.9","Integrated circuits,Power and energy,Very large scale integration design",Integrated circuits: Core to VLSI implementation. Power and energy: Focus on low-power architectures. Very large scale integration design: Directly describes the implementation. Communication hardware is secondary to hardware design.,"3D integrated circuits:0.2,Analog and mixed-signal circuits:1,Application-specific VLSI designs:1,Design reuse and communication-based design:0.2,Design rules:0.2,Digital switches:0.2,Economics of chip design and manufacturing:0.2,Energy distribution:0.2,Energy generation and storage:0.2,Full-custom circuits:0.3,Impact on the environment:0.2,Interconnect:0.2,Logic circuits:0.2,On-chip resource management:0.3,On-chip sensors:0.2,Power estimation and optimization:1,Reconfigurable logic and FPGAs:0.2,Semiconductor memory:0.2,Standard cell libraries:0.2,Thermal issues:0.2,VLSI design manufacturing considerations:0.3,VLSI packaging:0.2,VLSI system specification and constraints:0.2","Analog and mixed-signal circuits,Application-specific VLSI designs,Power estimation and optimization",Analog and mixed-signal circuits: The design includes analog sensor interfaces and RF components. Application-specific VLSI designs: The chip is tailored for audiovisual codecs. Power estimation and optimization: The paper emphasizes low-power implementation. Thermal issues is rejected as power optimization is the focus rather than thermal management.
271,"A scaling compatible, synthesis friendly VCO-based delta-sigma ADC design and synthesis methodology","Conventional analog/mixed-signal (AMS) circuits design methodology relying heavily on the use of operational amplifiers (opamps) to process signals in voltage-domain (VD) encounters severe difficulties in advanced nanometer-scale CMOS process. We present a novel scaling compatible, synthesis friendly ring voltage-controlled oscillator (VCO) based time-domain (TD) delta-sigma analog-to-digital converter (ADC) whose performance improves as technology advances. Decomposed into digital gates (e.g. inverters) and a small set of simple customized cells (e.g. resistors), its layout is fully synthesizable by leveraging digital layout synthesis tools. Post-layout simulation results demonstrate the scaling compatibility of the proposed ADC and a drastic boost to design productivity.","General and reference:0.0,Hardware:1.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.0,Mathematics of computing:0.0,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:0.0,Applied computing:0.0,Social and professional topics:0.0",Hardware,Hardware is highly relevant because the paper presents a novel analog-to-digital converter (ADC) design methodology focused on hardware implementation. Other categories like Computer Systems Organization are less specific to the circuit-level design discussed.,"Communication hardware, interfaces and storage:0.1,Electronic design automation:1.0,Emerging technologies:0.3,Hardware test:0.1,Hardware validation:0.5,Integrated circuits:1.0,Power and energy:0.5,Printed circuit boards:0.1,Robustness:0.1,Very large scale integration design:1.0","Electronic design automation,Integrated circuits,Very large scale integration design",Electronic design automation: The paper introduces a synthesis-friendly methodology for ADC design. Integrated circuits: The ADC is a core IC component. Very large scale integration design: The design leverages digital synthesis tools for layout. Other categories like power and energy are secondary to the core focus on design methodology.,"3D integrated circuits:0,Analog and mixed-signal circuits:1,Application-specific VLSI designs:0,Design reuse and communication-based design:0,Design rules:0,Digital switches:0,Economics of chip design and manufacturing:0,Full-custom circuits:0,Hardware description languages and compilation:0,High-level and register-transfer level synthesis:1,Interconnect:0,Logic circuits:0,Logic synthesis:0,Methodologies for EDA:0,Modeling and parameter extraction:0,On-chip resource management:0,On-chip sensors:0,Physical design (EDA):0,Reconfigurable logic and FPGAs:0,Semiconductor memory:0,Standard cell libraries:0,Timing analysis:0,VLSI design manufacturing considerations:0,VLSI packaging:0,VLSI system specification and constraints:0","Analog and mixed-signal circuits,High-level and register-transfer level synthesis",Analog and mixed-signal circuits is relevant as the paper discusses ADC design. High-level and register-transfer level synthesis is relevant because the paper mentions a synthesis-friendly methodology. Other categories like 3D integrated circuits are unrelated.
1873,Beyond DVFS: A First Look at Performance under a Hardware-Enforced Power Bound,"Dynamic Voltage Frequency Scaling (DVFS) has been the tool of choice for balancing power and performance in high-performance computing (HPC). With the introduction of Intel's Sandy Bridge family of processors, researchers now have a far more attractive option: user-specified, dynamic, hardware-enforced processor power bounds. In this paper we provide a first look at this technology in the HPC environment and detail both the opportunities and potential pitfalls of using this technique to control processor power. As part of this evaluation we measure power and performance for single-processor instances of several of the NAS Parallel Benchmarks. Additionally, we focus on the behavior of a single benchmark, MG, under several different power bounds. We quantify the well-known manufacturing variation in processor power efficiency and show that, in the absence of a power bound, this variation has no correlation to performance. We then show that execution under a power bound translates this variation in efficiency into variation in performance.","General and reference:0.1,Hardware:1.0,Computer systems organization:0.2,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.1,Applied computing:0.1,Social and professional topics:0.1",Hardware,"The paper focuses on hardware-enforced power management in HPC, which is a hardware design and optimization topic.","Power and energy:0.95,Communication hardware, interfaces and storage:0.3,Integrated circuits:0.4,Hardware validation:0.25",Power and energy,Power and energy is directly addressed through hardware-enforced power bounds. Other hardware-related categories are not the primary focus.,"Energy distribution:0,Energy generation and storage:0,Impact on the environment:0,Power estimation and optimization:1,Thermal issues:0",Power estimation and optimization,Power estimation and optimization is directly addressed through hardware-enforced power bounds. Other categories like Thermal issues are not explicitly discussed.
4067,A 14-bit 1.0-GS/s dynamic element matching DAC with >80 dB SFDR up to the Nyquist,"A 14-bit 1.0-GS/s current-steering digital-to-analog converter (DAC) was designed in a 65-nm CMOS process. For such current-steering DACs with a high sampling rate, the code-dependent load variations and switching glitches are a main bottleneck which limits the spurious-free dynamic range (SFDR). Dynamic element matching (DEM) has been an effective solution to randomize these glitches for a higher SFDR and also to reduce the matching requirement of the current cells for an area-efficient design which also improves the SFDR with reduced parasitic capacitance. An effective method named TRI-DEMRZ is proposed in this paper, consisting of time-relaxed interleaving, DEM and return-to-zero encoding. We also apply TRI-DEMRZ in synergy with complementary switched current sources (CSCS) to design the DAC for the purpose of a small die size and enhanced SFDR performance. Post-layout simulations show >80 dB SFDR up to the Nyquist. This DAC has a mixed 1.2 V / 2.5 V power supply and an active area of 0.48 mm2.","General and reference:0.1,Hardware:0.9,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.1,Applied computing:0.1,Social and professional topics:0.1",Hardware,Hardware is highly relevant as the paper describes a 14-bit 1.0-GS/s DAC design in CMOS. Other categories like Networks or Software engineering are not discussed in the paper.,"Integrated circuits:0.95,Communication hardware, interfaces and storage:0.6,Hardware validation:0.7,Power and energy:0.5",Integrated circuits,"Integrated circuits: The paper designs and validates a 14-bit DAC in 65-nm CMOS, a core topic in integrated circuits. Communication hardware is secondary; the focus is on DAC design, not communication systems.","3D integrated circuits:0.2,Digital switches:1.0,Interconnect:1.0,Logic circuits:0.4,Reconfigurable logic and FPGAs:0.3,Semiconductor memory:0.2","Digital switches,Interconnect",Digital switches is relevant for the current-steering DAC design. Interconnect is relevant for addressing code-dependent load variations. 3D integrated circuits and Semiconductor memory are not discussed.
